,AWND,CDSD,CLDD,DATE,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,REPORT_TYPE.1,SOURCE,SOURCE.1,STATION,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,state
0,,,,2021-01-01T00:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,30.42,24,32,0.00,,-0.05,1.0,73,30.42,CLR:00,30.35,10.00,29,360,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11401/01/21 00:54:02 METAR KACY 010554Z 36007KT 10SM CLR 00/M04 A3042 RMK AO2 SLP300 T00001044 10061 20000 51017 (PM),FM-15,FM-15,7.0,7.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,new jersey
1,,,,2021-01-01T23:59:00,,,,33.0,36,83.0,30.33,30.29,36.0,7.0,0,2.3,29,48,24,120,23,0.96,0,0.0,120,16,RA BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD75624 HR PRECIPITATION (IN): 0.96 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):1  24 HR MAX TEMP (F): 4824 HR MIN TEMP (F): 24AVERAGE STATION PRESSURE:30.295 MINIMUM SEA LEVEL PRESSURE:29.86 TIME OF OCCURRENCE:2345 PEAK WIND SPEED (MPH): 23 PEAK WIND DIR (DEG):120 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 16FASTEST 2MIN DIR (DEG):120 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 7.0 24 HR AVG TEMP (F): 36DEPART FROM NORMAL:  2  HEATING DEGREE DAYS: 29 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):44  LATEST NIGHT MIN TEMP(1900-0800 LST):24 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.01 0.00 0.01 0.05 0.11 0.09 0.10 0.23 0.27 0.07,SOD  ,SOD  ,6.0,6.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,719.0,1645.0,new jersey
2,,,,2021-01-02T23:59:00,,,,40.0,47,77.0,29.93,29.83,44.0,11.5,0,13.4,18,56,37,280,46,0.01,0,0.0,290,32,RA FG BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD75624 HR PRECIPITATION (IN): 0.01 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):1  24 HR MAX TEMP (F): 5624 HR MIN TEMP (F): 37AVERAGE STATION PRESSURE:29.835 MINIMUM SEA LEVEL PRESSURE:29.77 TIME OF OCCURRENCE:0521 PEAK WIND SPEED (MPH): 46 PEAK WIND DIR (DEG):280 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 32FASTEST 2MIN DIR (DEG):290 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):11.5 24 HR AVG TEMP (F): 47DEPART FROM NORMAL: 13  HEATING DEGREE DAYS: 18 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):56  LATEST NIGHT MIN TEMP(1900-0800 LST):43 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 T    0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,719.0,1646.0,new jersey
3,,,,2021-01-03T23:59:00,,,,39.0,42,92.0,29.96,29.9,41.0,8.1,0,8.5,23,48,35,350,22,0.38,0,0.0,360,15,RA BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD75624 HR PRECIPITATION (IN): 0.38 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):1  24 HR MAX TEMP (F): 4824 HR MIN TEMP (F): 35AVERAGE STATION PRESSURE:29.895 MINIMUM SEA LEVEL PRESSURE:29.85 TIME OF OCCURRENCE:1348 PEAK WIND SPEED (MPH): 22 PEAK WIND DIR (DEG):350 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 15FASTEST 2MIN DIR (DEG):360 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 8.1 24 HR AVG TEMP (F): 42DEPART FROM NORMAL:  8  HEATING DEGREE DAYS: 23 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):48  LATEST NIGHT MIN TEMP(1900-0800 LST):35 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.04 0.12 0.10 0.02 0.00 0.00 0.00 T    0.03 0.01 0.01 0.00 0.01 0.02 0.00 0.01 0.01 0.00,SOD  ,SOD  ,6.0,6.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,719.0,1647.0,new jersey
4,,,,2021-01-04T23:59:00,,,,36.0,39,90.0,29.96,29.88,38.0,6.3,0,5.6,26,42,36,340,18,0.00,0,0.0,330,15,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD78324 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):1  24 HR MAX TEMP (F): 4224 HR MIN TEMP (F): 36AVERAGE STATION PRESSURE:29.875 MINIMUM SEA LEVEL PRESSURE:29.90 TIME OF OCCURRENCE:0044 PEAK WIND SPEED (MPH): 18 PEAK WIND DIR (DEG):340 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 15FASTEST 2MIN DIR (DEG):330 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 6.3 24 HR AVG TEMP (F): 39DEPART FROM NORMAL:  6  SKY COVER SR-SS (TENTHS): 1HEATING DEGREE DAYS: 26 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):42  LATEST NIGHT MIN TEMP(1900-0800 LST):37 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,719.0,1648.0,new jersey
5,,,,2021-01-05T23:59:00,,,,34.0,39,85.0,29.92,29.84,37.0,5.1,0,5.7,26,41,37,340,13,0.00,0,0.0,350,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD76624 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 4124 HR MIN TEMP (F): 37AVERAGE STATION PRESSURE:29.840 MINIMUM SEA LEVEL PRESSURE:29.87 TIME OF OCCURRENCE:1508 PEAK WIND SPEED (MPH): 13 PEAK WIND DIR (DEG):340 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 10FASTEST 2MIN DIR (DEG):350 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 5.1 24 HR AVG TEMP (F): 39DEPART FROM NORMAL:  6  SKY COVER SR-SS (TENTHS): 1HEATING DEGREE DAYS: 26 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):41  LATEST NIGHT MIN TEMP(1900-0800 LST):37 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,719.0,1649.0,new jersey
6,,,,2021-01-06T23:59:00,,,,28.0,38,70.0,30.01,29.92,33.0,12.2,0,4.8,27,45,30,310,34,0.00,0,0.0,320,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 4524 HR MIN TEMP (F): 30AVERAGE STATION PRESSURE:29.920 MINIMUM SEA LEVEL PRESSURE:29.94 TIME OF OCCURRENCE:0118 PEAK WIND SPEED (MPH): 34 PEAK WIND DIR (DEG):310 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 25FASTEST 2MIN DIR (DEG):320 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):12.2 24 HR AVG TEMP (F): 38DEPART FROM NORMAL:  5  HEATING DEGREE DAYS: 27 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):45  LATEST NIGHT MIN TEMP(1900-0800 LST):30 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,719.0,1650.0,new jersey
7,,,,2021-01-07T23:59:00,,,,23.0,37,64.0,30.1,30.01,31.0,9.8,0,3.9,28,46,27,340,30,0.00,0,0.0,350,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 4624 HR MIN TEMP (F): 27AVERAGE STATION PRESSURE:30.015 MINIMUM SEA LEVEL PRESSURE:30.07 TIME OF OCCURRENCE:1508 PEAK WIND SPEED (MPH): 30 PEAK WIND DIR (DEG):340 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 21FASTEST 2MIN DIR (DEG):350 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 9.8 24 HR AVG TEMP (F): 37DEPART FROM NORMAL:  4  HEATING DEGREE DAYS: 28 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):46  LATEST NIGHT MIN TEMP(1900-0800 LST):30 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,719.0,1651.0,new jersey
8,,,,2021-01-08T23:59:00,,,,22.0,30,74.0,29.97,29.93,27.0,4.5,0,-3.0,35,36,23,340,13,0.00,0,0.0,350,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD75624 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):1  24 HR MAX TEMP (F): 3624 HR MIN TEMP (F): 23AVERAGE STATION PRESSURE:29.930 MINIMUM SEA LEVEL PRESSURE:29.82 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 13 PEAK WIND DIR (DEG):340 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 10FASTEST 2MIN DIR (DEG):350 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 4.5 24 HR AVG TEMP (F): 30DEPART FROM NORMAL: -3  HEATING DEGREE DAYS: 35 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):36  LATEST NIGHT MIN TEMP(1900-0800 LST):23 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,719.0,1652.0,new jersey
9,,,,2021-01-09T23:59:00,,,,16.0,33,49.0,29.89,29.78,28.0,12.0,0,0.0,32,41,25,340,29,0.00,0,0.0,340,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 4124 HR MIN TEMP (F): 25AVERAGE STATION PRESSURE:29.785 MINIMUM SEA LEVEL PRESSURE:29.80 TIME OF OCCURRENCE:0119 PEAK WIND SPEED (MPH): 29 PEAK WIND DIR (DEG):340 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 21FASTEST 2MIN DIR (DEG):340 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):12.0 24 HR AVG TEMP (F): 33DEPART FROM NORMAL:  0  HEATING DEGREE DAYS: 32 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):41  LATEST NIGHT MIN TEMP(1900-0800 LST):25 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,719.0,1653.0,new jersey
