state,label
alaska,7A-1
minnesota,7A-2
colorado,6B-1
montana,6B-2
wyoming,6B-3
maine,6A-1
new hampshire,6A-2
north dakota,6A-3
south dakota,6A-4
vermont,6A-5
wisconsin,6A-6
idaho,5B-1
utah,5B-2
connecticut,5A-1
illinois,5A-2
indiana,5A-3
iowa,5A-4
massachusetts,5A-5
michigan,5A-6
nebraska,5A-7
new york,5A-8
ohio,5A-9
rhode island,5A-10
west virginia,5A-11
oregon,4C-1
washington,4C-2
new mexico,4B-1
delaware,4A-1
kansas,4A-2
kentucky,4A-3
maryland,4A-4
missouri,4A-5
new jersey,4A-6
north carolina,4A-7
pennsylvania,4A-8
tennessee,4A-9
virginia,4A-10
california,3B-1
nevada,3B-2
alabama,3A-1
arkansas,3A-2
georgia,3A-3
mississippi,3A-4
oklahoma,3A-5
south carolina,3A-6
arizona,2B-1
louisiana,2A-1
texas,2A-2
hawaii,1C-1
florida,1A-1
