,AWND,CDSD,CLDD,DATE,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,REPORT_TYPE.1,SOURCE,SOURCE.1,STATION,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,state
0,,,,2021-01-01T00:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,30.42,24,32,0.00,,-0.05,1.0,73,30.42,CLR:00,30.35,10.00,29,360,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11401/01/21 00:54:02 METAR KACY 010554Z 36007KT 10SM CLR 00/M04 A3042 RMK AO2 SLP300 T00001044 10061 20000 51017 (PM),FM-15,FM-15,7.0,7.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,new jersey
1,8.7,0.0,0.0,2021-01-31T23:59:00,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,2413.0,923.0,,,,,,,,,,,,,,,,,,7,5,23.0,0.0,0.0,1,2.2,0.0,-69.0,2.2,2.1,-0.65,,0.97,01-02,0,,1.0,31-31,30.51,1.0,1018.0,43.7,35.2,29.41,16.0,1454.0,26.6,30.0,29.93,2.57,1.0,,0.0,992.0,SOM791PCP MTOT:2.57 PCP GT 24HRS:0.97 DATE(S):1-2 DAYS W/PCP >=.01:7  DAYS W/PCP >=.10:5  DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.10  15/2020 MIN:10 0.17  15/2022 MIN:15 0.20  15/2027 MIN:20 0.20  15/2024 MIN:30 0.21  15/2027 MIN:45 0.23  01/2258 MIN:60 0.27  01/2305 MIN:80 0.36  01/2258 MIN:100 0.42  01/2258 MIN:120 0.50  01/2258 MIN:150 0.58  01/2258 MIN:180 0.64  01/2315 AVG DLY MIN:26.6  AVG DLY MAX:43.7  AVG MLY TMP:35.2  MIN TMP:11 DATE(S):30 MAX TMP:56  DATE(S):02 DAYS MAX <=32:1 DAYS MAX >=90:0  DAYS MIN <=32:23 DAYS MIN  <=0:0  AVG STP:29.930 LWST SLP:29.40 DATE/TIME:161449 HGST SLP:30.51 DATE/TIME:011018 HDD MTH TOT:917 DEP NORM:-2553 SEASON(JUL 1-JUN 30):2385 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):0 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72407093730.0,2021-01-15 20:20,2021-01-15 20:22,2021-01-15 20:27,2021-01-15 20:24,2021-01-15 20:27,2021-01-01 22:58,2021-01-01 23:05,2021-01-01 22:58,2021-01-01 22:58,2021-01-01 22:58,2021-01-01 22:58,2021-01-01 23:15,0.1,0.17,0.2,0.2,0.21,0.23,0.27,0.36,0.42,0.5,0.58,0.64,,,new jersey
2,9.8,0.0,0.0,2021-02-28T23:59:00,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,3246.0,833.0,,,,,,,,,,,,,,,,,,15,12,22.0,0.0,0.0,2,-0.1,0.0,3.0,-2.2,1.9,4.02,,1.00,16-16,3,12.0,5.5,11-11,30.57,21.0,1148.0,42.1,35.2,29.38,2.0,1444.0,28.3,30.07,30.0,6.89,6.3,,0.0,830.0,SOM796PCP MTOT:6.89 PCP GT 24HRS:1.00 DATE(S):16 DAYS W/PCP >=.01:14 DAYS W/PCP >=.10:11 DAYS W/ PCP >=.50:6 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.13  16/0250 MIN:10 0.19  16/0250 MIN:15 0.26  16/0252 MIN:20 0.30  16/0252 MIN:30 0.35  16/0254 MIN:45 0.46  16/0252 MIN:60 0.58  16/0254 MIN:80 0.65  16/0309 MIN:100 0.78  16/0329 MIN:120 0.82  16/0344 MIN:150 0.90  16/0405 MIN:180 0.93  16/0428 AVG DLY MIN:28.3  AVG DLY MAX:42.1  AVG MLY TMP:35.2  MIN TMP:19 DATE(S):09 08 MAX TMP:57  DATE(S):27 16 DAYS MAX <=32:2 DAYS MAX >=90:0  DAYS MIN <=32:22 DAYS MIN  <=0:0  AVG STP:29.995 LWST SLP:29.38 DATE/TIME:021444 HGST SLP:30.57 DATE/TIME:211148 HDD MTH TOT:828 DEP NORM:-2553 SEASON(JUL 1-JUN 30):3213 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):0 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72407093730.0,2021-02-16 02:50,2021-02-16 02:50,2021-02-16 02:52,2021-02-16 02:52,2021-02-16 02:54,2021-02-16 02:52,2021-02-16 02:54,2021-02-16 03:09,2021-02-16 03:29,2021-02-16 03:44,2021-02-16 04:05,2021-02-16 04:28,0.13,0.19,0.26,0.3,0.35,0.46,0.58,0.65,0.78,0.82,0.9,0.93,,,new jersey
3,10.1,4.0,4.0,2021-03-31T23:59:00,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,3845.0,600.0,,,,,,,,,,,,,,,,,,7,5,14.0,0.0,0.0,0,3.5,4.0,-106.0,4.1,2.9,1.66,,1.82,24-24,0,,0.0,,30.59,20.0,954.0,55.9,45.7,29.49,28.0,1853.0,35.6,30.15,30.08,5.87,,,-7777.0,706.0,SOM790PCP MTOT:5.87 PCP GT 24HRS:1.82 DATE(S):24 DAYS W/PCP >=.01:7  DAYS W/PCP >=.10:5  DAYS W/ PCP >=.50:4 DAYS W/PCP >=1.00:3 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.16  24/1611 MIN:10 0.24  24/1615 MIN:15 0.30  24/1617 MIN:20 0.32  24/1624 MIN:30 0.40  24/1632 MIN:45 0.51  31/1921 MIN:60 0.60  31/1923 MIN:80 0.71  31/1939 MIN:100 0.79  31/1958 MIN:120 0.88  31/2017 MIN:150 0.94  31/2037 MIN:180 1.00  24/1654 AVG DLY MIN:35.6  AVG DLY MAX:55.9  AVG MLY TMP:45.8  MIN TMP:20 DATE(S):08 MAX TMP:83  DATE(S):26 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:14 DAYS MIN  <=0:0  AVG STP:30.075 LWST SLP:29.49 DATE/TIME:281853 HGST SLP:30.60 DATE/TIME:200919 HDD MTH TOT:600 DEP NORM:-2553 SEASON(JUL 1-JUN 30):3813 DEP NORM:-25536 CDD MTH TOT:4 DEP NORM:-2553 SEASON(JAN 1-DEC 31):4 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72407093730.0,2021-03-24 16:11,2021-03-24 16:15,2021-03-24 16:17,2021-03-24 16:24,2021-03-24 16:32,2021-03-31 19:21,2021-03-31 19:23,2021-03-31 19:39,2021-03-31 19:58,2021-03-31 20:17,2021-03-31 20:37,2021-03-24 16:54,0.16,0.24,0.3,0.32,0.4,0.51,0.6,0.71,0.79,0.88,0.94,1.00,,,new jersey
4,9.8,21.0,17.0,2021-04-30T23:59:00,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,4201.0,356.0,,,,,,,,,,,,,,,,,,11,4,2.0,0.0,0.0,0,2.0,8.0,-51.0,3.2,0.7,-1.01,,1.27,11-12,0,,0.0,,30.41,3.0,830.0,64.9,53.7,29.45,30.0,154.0,42.5,29.91,29.84,2.62,,,9.0,407.0,SOM795PCP MTOT:0.68 PCP GT 24HRS:0.68 DATE(S):24-25 DAYS W/PCP >=.01:2  DAYS W/PCP >=.10:1  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.03  25/0404 MIN:10 0.06  25/0302 MIN:15 0.08  25/0302 MIN:20 0.10  25/0305 MIN:30 0.14  25/0311 MIN:45 0.18  25/0316 MIN:60 0.21  25/0331 MIN:80 0.26  25/0404 MIN:100 0.32  25/0409 MIN:120 0.36  25/0409 MIN:150 0.42  25/0409 MIN:180 0.46  25/0431 AVG DLY MIN:42.5  AVG DLY MAX:64.9  AVG MLY TMP:53.7  MIN TMP:25 DATE(S):03 MAX TMP:89  DATE(S):28 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:2  DAYS MIN  <=0:0  AVG STP:29.840 LWST SLP:29.44 DATE/TIME:300205 HGST SLP:30.41 DATE/TIME:030830 HDD MTH TOT:350 DEP NORM:-2553 SEASON(JUL 1-JUN 30):4163 DEP NORM:-25536 CDD MTH TOT:18 DEP NORM:-2553 SEASON(JAN 1-DEC 31):22 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,new jersey
5,8.5,87.0,65.0,2021-05-31T23:59:00,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,4370.0,168.0,,,,,,,,,,,,,,,,,,8,6,0.0,2.0,0.0,0,0.6,10.0,-6.0,2.1,-1.0,-0.76,,0.96,29-30,0,,0.0,,30.54,21.0,954.0,73.4,61.7,29.65,5.0,1554.0,50.0,30.07,30.0,2.59,,,55.0,174.0,SOM798PCP MTOT:2.16 PCP GT 24HRS:0.96 DATE(S):29-30 DAYS W/PCP >=.01:5  DAYS W/PCP >=.10:4  DAYS W/ PCP >=.50:3 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.12  26/2213 MIN:10 0.14  26/2217 MIN:15 0.21  26/2213 MIN:20 0.23  26/2217 MIN:30 0.25  26/2228 MIN:45 0.29  26/2244 MIN:60 0.34  26/2256 MIN:80 0.38  26/2317 MIN:100 0.44  26/2335 MIN:120 0.48  26/2359 MIN:150 0.50  27/0005 MIN:180 0.50  27/0005 AVG DLY MIN:50.0  AVG DLY MAX:73.4  AVG MLY TMP:61.7  MIN TMP:38 DATE(S):16 MAX TMP:94  DATE(S):23 22 DAYS MAX <=32:0 DAYS MAX >=90:2  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:30.000 LWST SLP:29.64 DATE/TIME:051437 HGST SLP:30.55 DATE/TIME:210845 HDD MTH TOT:162 DEP NORM:-2553 SEASON(JUL 1-JUN 30):4325 DEP NORM:-25536 CDD MTH TOT:69 DEP NORM:-2553 SEASON(JAN 1-DEC 31):91 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72407093730.0,2021-05-26 22:13,2021-05-26 22:17,2021-05-26 22:13,2021-05-26 22:17,2021-05-26 22:28,2021-05-26 22:44,2021-05-26 22:56,2021-05-26 23:17,2021-05-26 23:35,2021-05-26 23:59,2021-05-27 00:05,2021-05-27 00:05,0.12,0.14,0.21,0.23,0.25,0.29,0.34,0.38,0.44,0.49,0.5,0.50,,,new jersey
6,7.8,325.0,238.0,2021-06-30T23:59:00,0.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,4376.0,6.0,,,,,,,,,,,,,,,,,,9,7,0.0,6.0,0.0,0,1.8,35.0,-21.0,1.7,1.9,0.62,,1.27,03-03,0,,0.0,,30.39,24.0,1153.0,82.3,72.7,29.63,21.0,1807.0,63.1,30.02,29.95,3.73,,,203.0,27.0,SOM791PCP MTOT:3.73 PCP GT 24HRS:1.27 DATE(S):3 DAYS W/PCP >=.01:9  DAYS W/PCP >=.10:7  DAYS W/ PCP >=.50:4 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.34  04/1751 MIN:10 0.47  04/1751 MIN:15 0.64  04/1751 MIN:20 0.68  04/1755 MIN:30 0.73  04/1805 MIN:45 0.74  03/0400 MIN:60 0.77  03/0407 MIN:80 0.80  03/0407 MIN:100 0.82  03/0456 MIN:120 0.93  03/0514 MIN:150 0.99  03/0524 MIN:180 1.00  03/0524 AVG DLY MIN:63.1  AVG DLY MAX:82.3  AVG MLY TMP:72.7  MIN TMP:50 DATE(S):24 MAX TMP:94  DATE(S):30 DAYS MAX <=32:0 DAYS MAX >=90:6  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.945 LWST SLP:29.63 DATE/TIME:211807 HGST SLP:30.39 DATE/TIME:241153 HDD MTH TOT:6 DEP NORM:-2553 SEASON(JUL 1-JUN 30):4331 DEP NORM:-25536 CDD MTH TOT:245 DEP NORM:-2553 SEASON(JAN 1-DEC 31):336 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72407093730.0,2021-06-04 17:51,2021-06-04 17:51,2021-06-04 17:51,2021-06-04 17:55,2021-06-04 18:05,2021-06-03 04:00,2021-06-03 04:07,2021-06-03 04:07,2021-06-03 04:56,2021-06-03 05:14,2021-06-03 05:24,2021-06-03 05:24,0.34,0.47,0.64,0.68,0.73,0.74,0.77,0.8,0.82,0.93,0.99,1.00,,,new jersey
7,6.7,701.0,376.0,2021-07-31T23:59:00,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,11,9,0.0,10.0,0.0,0,0.9,29.0,0.0,1.3,0.6,3.51,,3.19,08-09,0,,0.0,,30.19,13.0,1354.0,86.8,77.1,29.57,9.0,354.0,67.5,29.97,29.9,7.23,,,347.0,-7777.0,SOM789PCP MTOT:0.26 PCP GT 24HRS:0.26 DATE(S):29 DAYS W/PCP >=.01:1  DAYS W/PCP >=.10:1  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.07  29/0559 MIN:10 0.12  29/0604 MIN:15 0.16  29/0608 MIN:20 0.19  29/0610 MIN:30 0.21  29/0612 MIN:45 0.22  29/0628 MIN:60 0.22  29/0628 MIN:80 0.22  29/0628 MIN:100 0.22  29/0628 MIN:120 0.22  29/0628 MIN:150 0.22  29/0628 MIN:180 0.22  29/0628 AVG DLY MIN:67.5  AVG DLY MAX:86.8  AVG MLY TMP:77.2  MIN TMP:56 DATE(S):04 MAX TMP:95  DATE(S):27 DAYS MAX <=32:0 DAYS MAX >=90:10 DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.900 LWST SLP:29.56 DATE/TIME:090358 HGST SLP:30.20 DATE/TIME:131146 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):0 DEP NORM:-25536 CDD MTH TOT:384 DEP NORM:-2553 SEASON(JAN 1-DEC 31):720 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,new jersey
8,6.3,1078.0,377.0,2021-08-31T23:59:00,0.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,12,8,0.0,8.0,0.0,0,2.7,82.0,-3.0,1.6,3.8,2.17,,1.89,07-08,0,,0.0,,30.21,28.0,2311.0,85.3,77.1,29.78,31.0,1654.0,69.0,30.04,29.96,6.28,,,295.0,3.0,SOM794PCP MTOT:6.28 PCP GT 24HRS:1.89 DATE(S):7-8 DAYS W/PCP >=.01:12 DAYS W/PCP >=.10:8  DAYS W/ PCP >=.50:5 DAYS W/PCP >=1.00:2 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.48  27/1432 MIN:10 0.62  27/1434 MIN:15 0.77  27/1434 MIN:20 0.83  27/1436 MIN:30 0.84  27/1438 MIN:45 1.04  30/1659 MIN:60 1.11  30/1711 MIN:80 1.11  30/1711 MIN:100 1.11  30/1711 MIN:120 1.11  30/1711 MIN:150 1.11  30/1711 MIN:180 1.11  30/1711 AVG DLY MIN:69.0  AVG DLY MAX:85.3  AVG MLY TMP:77.2  MIN TMP:60 DATE(S):03 02 MAX TMP:95  DATE(S):12 DAYS MAX <=32:0 DAYS MAX >=90:8  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.965 LWST SLP:29.77 DATE/TIME:311549 HGST SLP:30.21 DATE/TIME:282311 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):0 DEP NORM:-25536 CDD MTH TOT:386 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1106 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72407093730.0,2021-08-27 14:32,2021-08-27 14:34,2021-08-27 14:34,2021-08-27 14:36,2021-08-27 14:38,2021-08-30 16:59,2021-08-30 17:11,2021-08-30 17:11,2021-08-30 17:11,2021-08-30 17:11,2021-08-30 17:11,2021-08-30 17:11,0.48,0.62,0.77,0.83,0.84,1.04,1.11,1.11,1.11,1.11,1.11,1.11,,,new jersey
9,7.6,1240.0,162.0,2021-09-30T23:59:00,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,10,5,0.0,0.0,0.0,0,2.9,37.0,-50.0,2.4,3.4,0.78,,1.63,09-09,0,,0.0,,30.34,20.0,2257.0,79.4,70.1,29.5,1.0,2258.0,60.8,30.0,29.93,3.93,,,125.0,59.0,SOM765PCP GT 24HRS:0.00 DAYS W/PCP >=.01:0  DAYS W/PCP >=.10:0  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.00    /     MIN:10 0.00    /     MIN:15 0.00    /     MIN:20 0.00    /     MIN:30 0.00    /     MIN:45 0.00    /     MIN:60 0.00    /     MIN:80 0.00    /     MIN:100 0.00    /     MIN:120 0.00    /     MIN:150 0.00    /     MIN:180 0.00    /     AVG DLY MIN:60.8  AVG DLY MAX:79.5  AVG MLY TMP:70.2  MIN TMP:50 DATE(S):25 MAX TMP:88  DATE(S):13 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.930 LWST SLP:29.50 DATE/TIME:012258 HGST SLP:30.34 DATE/TIME:202257 HDD MTH TOT:8 DEP NORM:-2553 SEASON(JUL 1-JUN 30):8 DEP NORM:-25536 CDD MTH TOT:170 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1276 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72407093730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,new jersey
