,state,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
0,alabama,52.2,51.1,68.0,72.2,79.2,86.0,88.5,87.8,82.8,76.0,62.4,64.6
1,alaska,28.2,20.5,27.3,44.0,55.8,63.7,65.5,64.2,53.8,42.9,20.8,22.8
2,arizona,67.9,73.0,76.6,90.0,96.2,108.2,103.6,103.2,100.1,86.8,83.3,69.2
3,arkansas,49.8,42.9,66.2,69.8,76.7,86.5,89.2,91.1,86.2,75.8,59.8,62.9
4,california,67.2,66.3,64.6,68.0,67.4,70.9,73.6,75.1,74.4,74.0,71.7,61.7
5,colorado,46.2,38.4,51.2,59.8,68.1,86.4,91.4,90.6,83.9,69.3,61.4,54.1
6,connecticut,36.6,35.2,52.8,63.2,71.5,83.7,81.8,84.0,76.1,66.8,52.3,45.8
7,delaware,46.2,45.4,60.7,68.3,77.2,86.0,90.4,86.3,81.3,73.6,57.2,55.7
8,florida,76.6,81.0,81.7,84.9,87.2,88.7,90.0,91.0,90.2,87.4,79.6,81.6
9,georgia,54.3,57.9,69.4,73.5,79.5,86.0,88.0,88.1,82.2,75.3,64.2,64.5
10,hawaii,82.8,81.3,80.4,83.0,85.6,87.7,87.8,88.3,88.5,86.8,85.0,80.3
11,idaho,43.6,43.0,57.4,64.7,72.4,90.9,98.6,88.5,81.5,65.5,53.0,41.3
12,illinois,33.9,27.4,53.3,61.3,69.7,83.8,82.3,86.2,79.8,66.6,48.2,45.8
13,indiana,36.7,33.3,58.3,63.8,71.1,83.1,83.4,86.9,80.1,69.0,49.7,51.6
14,iowa,30.9,21.5,52.0,62.4,69.7,84.9,81.9,85.3,82.4,67.1,50.2,44.5
15,kansas,45.5,36.2,62.9,67.5,72.6,88.4,90.1,93.8,88.7,74.2,61.1,58.6
16,kentucky,42.6,40.1,64.0,68.5,76.3,86.5,88.0,89.9,83.1,73.7,56.5,60.0
17,louisiana,58.8,55.5,73.0,76.2,82.0,91.5,92.7,94.1,88.0,83.4,69.1,73.3
18,maine,31.5,31.1,43.5,57.9,66.9,79.8,75.6,80.5,71.5,62.2,47.0,36.1
19,maryland,44.6,42.7,59.8,67.9,76.7,86.4,91.0,88.8,81.9,74.2,56.6,54.7
20,massachusetts,36.9,36.1,51.4,58.8,69.9,83.6,79.0,83.7,76.7,66.1,52.1,45.7
21,michigan,34.2,31.1,54.7,61.1,69.8,81.9,82.8,84.8,76.5,66.6,47.2,44.1
22,minnesota,23.3,12.5,44.8,50.4,66.1,80.6,83.1,81.6,0.0,58.2,37.5,22.7
23,mississippi,57.8,56.1,73.1,75.6,81.6,89.8,91.1,91.5,86.1,81.4,67.1,71.2
24,missouri,41.9,32.3,60.6,66.8,72.0,87.7,88.1,89.9,83.2,70.0,57.4,54.5
25,montana,41.9,24.8,53.0,57.0,65.3,88.6,94.7,84.1,79.5,62.1,54.0,35.6
26,nebraska,36.0,25.0,57.6,65.4,71.9,89.5,87.9,88.5,83.1,68.5,55.6,47.2
27,nevada,60.1,65.9,69.4,84.0,91.6,105.8,107.2,105.2,98.4,79.2,75.7,59.2
28,new hampshire,35.8,34.7,51.2,60.1,71.6,84.0,79.6,84.0,76.0,65.8,51.6,43.3
29,new jersey,43.7,42.1,55.9,64.9,73.4,82.3,86.8,85.3,79.4,71.4,56.1,52.9
30,new mexico,48.9,52.8,60.5,71.6,81.0,90.8,90.7,89.6,85.2,71.0,63.4,53.2
31,new york,41.1,38.3,52.7,60.5,70.4,79.8,83.0,83.4,78.0,69.9,54.2,49.3
32,north carolina,50.1,51.5,66.0,73.7,79.5,85.7,88.7,90.8,84.1,76.8,61.7,63.8
33,north dakota,26.8,14.5,48.2,54.4,70.6,86.3,86.6,84.1,76.6,61.2,41.0,23.9
34,ohio,40.2,37.9,61.0,65.9,73.3,83.5,85.2,87.3,81.2,71.2,53.8,55.4
35,oklahoma,48.5,40.4,66.5,68.8,74.3,86.7,90.5,91.3,90.1,76.7,63.6,64.2
36,oregon,49.9,47.2,56.2,67.3,70.5,82.6,85.5,84.0,77.7,62.1,56.0,45.8
37,pennsylvania,42.0,39.6,57.2,65.7,74.3,84.6,87.3,87.1,80.1,71.6,55.7,52.6
38,rhode island,38.8,38.2,50.1,57.6,66.5,77.6,77.9,80.6,73.9,66.2,52.6,46.0
39,south carolina,55.5,58.7,70.5,77.2,83.5,88.4,90.2,90.0,85.3,78.7,66.1,66.5
40,south dakota,32.5,21.4,52.6,60.6,70.0,89.5,86.8,84.6,79.5,64.9,50.0,36.7
41,tennessee,51.4,44.6,68.8,71.3,78.6,87.0,89.6,91.5,85.5,77.5,62.4,66.5
42,texas,65.8,58.9,75.9,77.2,81.7,90.1,90.5,92.6,93.1,84.7,72.3,75.0
43,utah,41.6,43.7,55.1,62.8,74.7,93.6,98.4,89.6,83.4,63.3,54.2,43.0
44,vermont,29.0,30.0,46.3,58.1,69.9,82.4,77.7,83.3,73.4,63.4,46.1,38.7
45,virginia,49.4,49.6,63.8,70.8,78.2,85.8,90.0,86.4,80.8,74.4,59.4,58.4
46,washington,48.8,46.6,53.2,62.8,65.7,76.6,79.1,77.8,70.3,57.9,53.1,41.9
47,west virginia,41.5,41.3,62.8,66.9,74.0,83.5,86.1,87.0,79.5,71.9,55.6,57.4
48,wisconsin,33.3,26.7,50.0,57.3,67.7,81.9,81.8,84.1,77.1,66.0,48.1,42.9
49,wyoming,40.2,32.5,45.7,53.2,62.2,81.4,87.1,85.4,79.0,61.5,55.1,46.4
