,state,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
0,alabama,33.4,31.8,45.4,47.3,56.7,67.2,70.7,70.4,62.4,55.1,35.0,43.0
1,alaska,16.3,8.0,11.1,25.6,40.2,49.2,52.7,50.5,41.0,32.8,10.7,11.3
2,arizona,44.7,48.9,51.7,63.3,70.0,82.5,83.7,81.9,78.4,62.7,57.0,49.2
3,arkansas,34.3,27.8,46.9,49.1,58.2,69.4,71.2,71.9,65.7,57.6,40.6,45.7
4,california,48.1,49.4,48.4,53.9,57.3,60.2,63.9,64.3,62.4,57.4,55.7,48.9
5,colorado,21.6,12.3,27.6,32.6,44.1,56.8,62.0,60.2,53.6,38.6,31.2,22.7
6,connecticut,21.3,21.9,29.0,39.2,48.0,60.7,64.1,65.6,56.1,47.9,30.6,30.1
7,delaware,30.3,31.2,39.1,45.2,53.2,66.1,68.4,69.9,61.0,55.3,35.3,35.5
8,florida,60.5,67.9,67.4,70.0,75.3,76.6,77.3,78.5,76.0,75.1,66.5,67.5
9,georgia,38.0,39.5,48.8,52.3,59.8,69.2,71.8,72.6,65.7,59.0,41.5,47.5
10,hawaii,70.5,67.4,68.3,69.5,72.7,73.7,75.8,74.6,74.7,73.9,71.4,68.1
11,idaho,29.2,27.3,32.2,38.9,46.7,60.9,69.0,60.4,51.5,44.2,35.7,26.9
12,illinois,24.4,13.0,35.2,42.5,50.8,64.8,66.5,68.1,60.7,52.7,32.5,30.2
13,indiana,25.3,18.6,35.5,42.6,50.6,65.1,66.5,68.2,60.2,52.9,31.2,32.5
14,iowa,19.5,5.7,33.8,40.9,50.7,63.5,64.0,61.8,55.0,48.4,29.1,25.4
15,kansas,25.6,15.8,38.7,42.9,54.5,66.4,68.4,69.5,62.4,49.5,35.6,29.8
16,kentucky,30.5,26.6,41.3,47.5,55.6,69.0,71.4,71.9,63.8,56.3,36.2,39.7
17,louisiana,39.5,37.4,50.3,55.5,64.5,73.0,73.5,73.9,67.1,60.7,43.0,53.7
18,maine,16.6,14.7,22.5,35.5,43.0,55.6,57.0,61.4,53.0,43.9,28.6,18.5
19,maryland,28.9,28.9,37.6,45.0,51.2,65.4,69.3,70.5,61.0,55.2,34.2,36.3
20,massachusetts,25.1,25.4,32.7,42.7,52.9,65.1,65.7,70.0,62.6,53.7,37.4,32.7
21,michigan,24.5,15.6,31.2,40.1,48.2,63.7,65.2,66.6,57.3,52.3,31.6,30.3
22,minnesota,5.5,-9.2,21.6,29.2,40.1,53.7,56.3,57.5,0.0,39.8,22.5,4.9
23,mississippi,38.1,34.6,49.1,51.6,61.3,70.5,72.9,72.7,65.4,58.1,39.6,49.9
24,missouri,26.3,14.1,39.7,44.3,55.3,67.2,69.2,69.7,60.5,49.4,35.6,31.6
25,montana,24.0,8.5,29.2,33.4,41.9,57.5,63.9,57.3,50.9,40.7,33.6,15.4
26,nebraska,21.1,7.6,34.6,40.9,52.4,65.8,67.5,67.5,58.8,47.4,33.4,24.6
27,nevada,40.6,44.9,46.9,60.3,66.9,80.2,84.3,80.9,73.9,56.5,52.1,40.8
28,new hampshire,22.3,20.4,28.0,39.0,50.0,61.9,62.8,66.8,58.1,49.3,32.6,28.9
29,new jersey,26.6,28.3,35.6,42.5,50.0,63.1,67.5,69.0,60.8,53.6,33.3,34.2
30,new mexico,25.7,28.0,34.7,42.9,53.7,65.0,67.4,65.2,61.4,45.3,37.6,29.3
31,new york,28.4,28.0,35.2,43.3,52.1,63.0,68.6,70.5,63.5,56.2,38.4,37.5
32,north carolina,31.8,33.3,43.4,46.8,54.0,66.4,69.6,70.7,61.8,55.5,36.0,41.4
33,north dakota,11.9,-0.8,23.8,30.3,42.9,57.0,62.9,59.8,52.1,40.8,24.4,5.0
34,ohio,27.5,21.5,33.9,39.8,48.0,61.9,64.2,65.7,56.6,51.9,30.3,32.5
35,oklahoma,29.7,20.4,41.7,46.2,56.8,65.9,69.6,70.4,62.6,52.5,38.5,37.2
36,oregon,39.6,36.6,38.1,43.0,49.6,58.8,60.6,61.0,55.1,47.5,44.7,36.5
37,pennsylvania,29.4,28.7,37.6,45.6,53.9,65.5,70.4,71.3,63.0,56.5,37.8,38.0
38,rhode island,22.0,22.8,27.3,36.3,44.3,56.7,61.2,63.5,55.8,47.9,29.5,29.2
39,south carolina,35.8,38.2,46.5,49.6,57.0,69.2,71.4,72.7,63.6,57.0,37.8,43.0
40,south dakota,19.0,4.3,29.1,36.4,48.4,61.0,64.4,64.1,54.5,42.9,27.4,17.5
41,tennessee,36.2,29.5,47.9,50.6,60.4,70.8,73.6,74.5,66.2,58.3,40.6,48.0
42,texas,38.9,35.9,48.9,53.1,63.1,70.4,71.0,71.8,64.7,58.1,44.5,50.5
43,utah,24.4,29.1,34.3,39.9,50.8,66.7,73.1,63.9,57.2,43.1,35.7,26.5
44,vermont,16.9,13.7,24.0,37.8,48.0,61.3,61.5,65.5,55.7,47.9,29.7,24.9
45,virginia,35.3,36.1,44.6,50.9,57.6,70.3,73.3,72.1,64.8,58.8,41.7,41.0
46,washington,38.8,36.3,37.9,43.2,48.1,55.5,56.9,57.1,53.4,45.8,42.7,34.2
47,west virginia,28.0,26.8,35.6,42.4,49.4,61.9,64.6,67.0,57.5,51.8,32.1,35.7
48,wisconsin,22.6,13.0,33.0,40.6,49.3,62.9,65.1,66.9,59.5,53.1,31.8,27.9
49,wyoming,19.0,11.1,23.1,28.5,39.4,52.3,57.6,55.4,48.2,36.8,30.3,22.2
