,state,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
0,alabama,0.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,alaska,3.0,15.2,13.5,1.9,0.0,0.0,0.0,0.0,0.0,2.3,16.5,0.0
2,arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,arkansas,0.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,california,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,colorado,3.1,13.5,34.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
6,connecticut,5.0,20.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
7,delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,idaho,0.5,14.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
12,illinois,21.9,21.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
13,indiana,7.9,11.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
14,iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,kansas,6.5,5.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,kentucky,5.7,11.3,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,maine,9.0,17.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.2,8.5
19,maryland,4.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,massachusetts,5.8,15.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
21,michigan,6.4,21.8,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,7.1,3.3
22,minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,mississippi,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,missouri,5.1,5.8,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,montana,1.7,17.3,0.0,5.0,0.1,0.0,0.0,0.0,0.0,6.0,1.4,15.2
26,nebraska,16.0,17.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
27,nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,new hampshire,0.0,0.0,0.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,new jersey,1.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,new mexico,2.3,6.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
31,new york,0.9,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
32,north carolina,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,north dakota,4.6,3.1,2.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,25.1
34,ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,oklahoma,5.1,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,oregon,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
37,pennsylvania,3.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,rhode island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,south carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,south dakota,5.3,7.5,8.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10.2
41,tennessee,0.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,texas,1.3,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,utah,2.4,16.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5
44,vermont,23.6,23.7,1.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0
45,virginia,3.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,washington,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2
47,west virginia,4.7,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
48,wisconsin,23.3,17.5,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
49,wyoming,3.4,9.0,35.2,6.2,6.1,0.0,0.0,0.0,0.0,1.9,1.2,5.8
